Zone,Pathway (plain English),Current rule (what the tool checks),Source,YES copy (block meets threshold),NO copy (block below threshold)
RZ1,Add a granny flat,Available: block >= 500m2 AND single dwelling present. Badge: green.,NI2023-540 E1 AR4 (500m2 min); AR3 (90m2 max); F1 AR5(a) (cannot be unit-titled),"A granny flat is a self-contained home on the same block as your existing house - its own front door, kitchen, bathroom and living space. Most people build one in the backyard. It can be rented out for income, used by a family member, or set up as a studio or workspace. Your existing home stays as it is.
 
 Your block qualifies. Under current planning rules you can add a granny flat of up to 90m2 of floor area - enough for a comfortable one-bedroom home or a well-sized studio. Whether it physically works depends on what is already on your block: where your house sits, how much usable rear yard you have, and whether any trees or easements limit the space.","A granny flat is a self-contained home on the same block as your existing house - its own front door, kitchen, bathroom and living space. Most people build one in the backyard. It can be rented out for income, used by a family member, or set up as a studio or workspace. Your existing home stays as it is.
 
 At [block_size]m2, your block is below the 500m2 minimum required for a granny flat under current planning rules, so this option is not available for your property."
RZ2,Add a granny flat,Available: block >= 500m2 AND single dwelling present. Badge: green.,NI2023-540 E1 AR4 (500m2 min); AR3 (90m2 max); F1 AR5(a) (cannot be unit-titled),"A granny flat is a self-contained home on the same block as your existing house - its own front door, kitchen, bathroom and living space. Most people build one in the backyard. It can be rented out for income, used by a family member, or set up as a studio or workspace. Your existing home stays as it is.
 
 Your block qualifies. Under current planning rules you can add a granny flat of up to 90m2 of floor area. RZ2 gives you slightly more flexibility across your overall site than RZ1, but your specific block conditions will shape what is practical - house position, rear yard space, trees, and easements all play a role.","A granny flat is a self-contained home on the same block as your existing house - its own front door, kitchen, bathroom and living space. Most people build one in the backyard. It can be rented out for income, used by a family member, or set up as a studio or workspace. Your existing home stays as it is.
 
At [block_size]m2, your block is below the 500m2 minimum required for a granny flat under current planning rules, so this option is not available for your property."
RZ1,Build a second full home,Available: block >= 800m2. Max 2 dwellings. Badge: green.,NI2023-540 E1 AR16(a) (800m2 min); AR16(b) (max 2 dwellings); AR14 (45% site coverage); AR10 (2 storeys max),"A dual occupancy is two complete, full-sized homes on the one block - both under a single title you own. There is no requirement for one to be smaller than the other. You can live in one and rent the other, use both, or sell the whole package. You cannot sell them separately unless you take an extra legal step (see unit titling below).
 
 Your block is large enough for dual occupancy under current rules. Whether it physically fits alongside your existing house depends on your site — house position, available rear yard, site coverage, and access. A block this size often has the room, but that is exactly what a proper site assessment confirms.","A dual occupancy is two complete, full-sized homes on the one block - both under a single title you own. There is no requirement for one to be smaller than the other. You can live in one and rent the other, use both, or sell the whole package. You cannot sell them separately unless you take an extra legal step (see unit titling below).
 
 Dual occupancy requires a minimum block size of 800m2 in RZ1. At [block_size]m2, your block does not meet that threshold, so building a second full home is not available here under current rules."
RZ2,Build a second full home,"Available: block >= 700m2 (standard) or >= 600m2 (adaptable — all dwellings to AS4299 Class C).
 Yield: 1 additional dwelling per 250m2 over minimum.
 Frontage < 20m: max 3 dwellings.
 Badge: green >= 700m2. Amber (possible) 600-699m2. Not available < 600m2.",NI2023-540 E1 AR19(a) (700m2 standard); AR20(a) (600m2 adaptable); AR21 (frontage cap); AR14 (45% site coverage); AR11 (2 storeys max),"A dual occupancy is two complete, full-sized homes on the one block - both under a single title you own. There is no requirement for one to be smaller than the other. You can live in one and rent the other, use both, or sell the whole package. You cannot sell them separately unless you take an extra legal step (see unit titling below).
 
 Your block meets the minimum for dual occupancy in RZ2. RZ2 also allows more dwellings on larger blocks - roughly one additional dwelling per 250m2 over the 700m2 minimum, so a bigger block opens up a more significant project. Whether it all fits depends on your site conditions.","A dual occupancy is two complete, full-sized homes on the one block - both under a single title you own. There is no requirement for one to be smaller than the other. You can live in one and rent the other, use both, or sell the whole package. You cannot sell them separately unless you take an extra legal step (see unit titling below).
 
 Dual occupancy in RZ2 requires a minimum block size of 700m2 (or 600m2 under the adaptable housing pathway, where all dwellings must meet a specific accessible design standard). At [block_size]m2, your block does not meet either threshold, so this option is not available under current rules. A granny flat may still be available if your block is 500m2 or more."
RZ1,Build two homes and sell one,"Available: block >= 800m2 AND dual occupancy built and certified. One dwelling must be <= 120m2 (excl. garage) — this is a unit titling eligibility condition, not a general design rule. Badge: green.",NI2023-540 F1 AR12(a)(i) (800m2 + 120m2 condition); AR13 (build and certify first); Advisory Note 19 Mar 2025,"Unit titling is the legal step that turns a dual occupancy into two separately owned properties - each with its own title. Once titled, you can sell one and keep one, or sell both independently. It is what converts a building project into two separate assets, and it is often where the real financial upside lives for homeowners on larger blocks.
 
 Your block qualifies for unit titling under current rules. The process: build both dwellings, complete construction to certification, then apply to separate the titles. You must build before you can title — you cannot sell bare land in RZ1. One of the two dwellings must be 120m2 or less to meet the eligibility condition.","Unit titling is the legal step that turns a dual occupancy into two separately owned properties - each with its own title. Once titled, you can sell one and keep one, or sell both independently. It is what converts a building project into two separate assets, and it is often where the real financial upside lives for homeowners on larger blocks.
 
 Unit titling in RZ1 requires a minimum block size of 800m2. At [block_size]m2, your block does not meet that threshold, so creating two separately sellable properties is not available under current rules. You can still add a granny flat on a qualifying block, but it stays on the same title as your house and cannot be sold separately."
RZ2,Build two homes and sell one,Available: block >= 700m2 AND dual occupancy built and certified. Badge: green.,NI2023-540 F1 AR14; AR13 (build and certify first); Advisory Note 19 Mar 2025,"Unit titling is the legal step that turns a dual occupancy into two separately owned properties - each with its own title. Once titled, you can sell one and keep one, or sell both independently. It is what converts a building project into two separate assets, and it is often where the real financial upside lives for homeowners on larger blocks.
 
 Your block qualifies for unit titling. More common and straightforward in RZ2 than RZ1. Build the dual occupancy, complete construction to certification, then apply to separate the titles. Two independently sellable properties.","Unit titling is the legal step that turns a dual occupancy into two separately owned properties - each with its own title. Once titled, you can sell one and keep one, or sell both independently. It is what converts a building project into two separate assets, and it is often where the real financial upside lives for homeowners on larger blocks.
 
 Unit titling follows the same minimum as dual occupancy — 700m2 in RZ2. At [block_size]m2, your block does not meet that threshold, so creating two separately sellable titles is not available under current rules."
RZ1,Sell off part of your land,"NOT AVAILABLE in RZ1 — block subdivision prohibited. Always show not available badge.
 If block >= 800m2: redirect to unit titling card as alternative pathway.",NI2023-540 F1 AR11 (subdivision prohibited in RZ1); Advisory Note 19 Mar 2025 p.3-4,N/A - do not show yes state for RZ1.,"Subdivision means splitting your block into two separate pieces of land, each with its own Crown lease. Your existing home stays on one, and the new block becomes its own separately sellable property.
 
 Splitting your block to create a separate vacant land title is not permitted in RZ1 under current planning rules. The land stays as one Crown lease regardless of block size.
 
 If your block is 800m2 or more, you can build a second dwelling and sell it as a separately titled property through unit titling — which delivers a similar financial outcome through a different legal structure. It is worth understanding how that works for your block."
RZ2,Sell off part of your land,"Available in RZ2 — all blocks. Can sell bare land without building first.
 Practical minimum ~350m2 for new lot (Technical Specification guidance, not a hard rule).
 Badge: amber (possible).",NI2023-540 F1 AR14; Advisory Note 19 Mar 2025 p.3; NI2025-493 (350m2 suggestion),"Subdivision means splitting your block into two separate pieces of land, each with its own Crown lease. Your existing home stays on one, and the new block becomes its own separately sellable property.
 
 Subdivision is available in your zone. In RZ2 you can split your block and sell the new portion as bare land - you do not have to build on it first. The practical question is whether your block has the dimensions to create a second usable lot: frontage, street access, and the ability to accommodate a dwelling on the new lot all factor in. It is genuinely worth assessing.",N/A - subdivision is available in all RZ2 blocks. Always show yes state.
RZ1,Build multiple dwellings,"NOT AVAILABLE for 3+ dwellings on a standard RZ1 block. Max 2 dwellings per standard block (800m2 min). Always show not available badge for this card.
 Dual occupancy card covers the 2-dwelling pathway.",NI2023-540 E1 AR1 (no apartments); AR16(a) (800m2 min); AR16(b) (max 2 dwellings),N/A — do not show yes state for RZ1.,"Multi-unit development means two or more homes on one site - townhouses, terrace houses, or similar. It is a more ambitious project than a single second dwelling, and whether it is available depends on your zone and block size.
 
 Current planning rules for RZ1 cap development at two dwellings per block, so building three or more homes on your site is not available. The dual occupancy card above covers what the two-dwelling pathway looks like if your block meets the size requirements."
RZ2,Build multiple dwellings,"Available: block >= 700m2 (standard) or >= 600m2 (adaptable).
 Yield: 1 additional dwelling per 250m2 over minimum. Frontage < 20m: max 3 dwellings.
 Conditional (amber) for 600-699m2.
 Badge: green >= 700m2. Amber 600-699m2. Not available < 600m2.",NI2023-540 E1 AR19 (700m2 standard); AR20 (600m2 adaptable); AR21 (frontage cap); AR11 (2 storeys); AR14 (45% site coverage),"Multi-unit development means two or more homes on one site - townhouses, terrace houses, or similar. It is a more ambitious project than a single second dwelling, and whether it is available depends on your zone and block size.
 
 Multi-unit housing is permitted in your zone and your block meets the minimum size. RZ2 allows townhouse-style development and, on larger blocks, more than two dwellings — the yield formula is roughly one additional dwelling per 250m2 over the 700m2 minimum. Key constraints are site coverage (45% maximum), two-storey height limit, parking, and what your block can physically accommodate.","Multi-unit development means two or more homes on one site - townhouses, terrace houses, or similar. It is a more ambitious project than a single second dwelling, and whether it is available depends on your zone and block size.
 
 Multi-unit housing in RZ2 requires a minimum block size of 600m2 even under the most flexible pathway. At [block_size]m2, your block is below that threshold, so this option is not available under current rules."
