Zone,Pathway,Parameter,Current Value/Operator,Draft DPA-04 Value/Operator,Units,Confidence,Source Citation,Notes/Disclaimers,User-Facing Explanation (Plain English for Reports)
RZ1,second dwelling / granny flat,min_block_area_m2,>=800,Removed,m2,High,planning.act.gov.au/territory-plan; region.com.au (2025); thepodcanberra.com.au,Assumes single primary dwelling; overlays/frontage/design may restrict. Not DA advice—consult ACT Planning.,"Based on your RZ1 block size of X m², adding a granny flat/second dwelling is possible if ≥800 m² under current rules (up to ~120 m² excl. garage), but this is indicative only—subject to overlays, frontage, and full DA assessment. Draft reforms remove the min size, if approved."
RZ1,second dwelling / granny flat,max_gfa_m2,<=120 (excl. garage),No limit,m2,High,planning.act.gov.au FAQs; region.com.au (2025),Practical cap; strict secondary may be lower in some cases. Overlays/design rules apply. Not compliance advice.,"Your granny flat/second dwelling in RZ1 can be up to 120 m² (excluding garage) under current rules, indicative only—check setbacks, overlays, and consult a certifier. Draft removes this limit, but reforms are proposed only."
RZ1,second dwelling / granny flat,allowed_boolean,True (if meets size),True (easier),n/a,High,ACT Planning FAQs; thepodcanberra.com.au,Non-titlable unless dual compliant; subject to full assessment. Not DA substitute.,"Adding a granny flat/second dwelling is allowed on qualifying RZ1 blocks under current rules, but this is indicative—overlays, frontage, and design may prevent it; consult ACT Planning. Draft makes it easier on smaller blocks."
RZ1,unit-titling,min_block_area_m2,>=800,>=600,m2,High,planning.act.gov.au/unit-titling; region.com.au (2025),Must build + obtain COU first; overlays/frontage restrict. Not legal advice—seek professional.,"Unit titling (separate sale) is possible on your RZ1 block ≥800 m² with one dwelling ≤120 m² under current rules, but indicative only—subject to build completion, overlays, and DA. Draft lowers to 600 m², if reforms pass."
RZ1,unit-titling,allowed_boolean,True (if meets size + build),True (easier),n/a,High,ACT Planning unit title guide; thepodcanberra.com.au,Requires DA/construction; overlays may override. Not compliance guarantee.,"Unit titling is allowed for second dwellings on large RZ1 blocks under current rules, but this is indicative—check overlays/frontage/design and consult ACT Planning. Draft eases thresholds."
RZ1,subdivision,allowed_boolean,False / Restricted,True (easier),n/a,Medium,planning.act.gov.au/subdivision-policy; lexology.com,Vacant lots limited; often build first required. Overlays restrict; not DA advice.,"Subdivision (new vacant lots) is not likely in RZ1 under current rules, indicative only—subject to policy, overlays, and full assessment. Draft may ease for missing middle, but proposed only."
RZ1,townhouses / multi-unit,allowed_boolean,FALSE,True (low-rise),n/a,High,planning.act.gov.au/residential-zones; abc.net.au (2025),RZ1 limits to single/dual; overlays/design override. Not compliance advice.,"Townhouses/multi-unit housing is not allowed in RZ1 under current rules, but this is indicative—overlays may further restrict; consult ACT Planning. Draft proposes allowing low-rise, if approved."
RZ1,co-housing,min_block_area_m2,>=1050 (practical for MUH),Removed,m2,Medium,planning.act.gov.au/territory-plan (inferred from MUH); region.com.au (2025),Treated as MUH/community title; overlays/frontage/design restrict. Not distinct pathway—consult ACT Planning for specifics. Not DA advice.,"Co-housing (shared MUH) is possible on larger RZ1 blocks ≥1050 m² under current rules, but indicative only—subject to overlays, frontage, and full assessment. Draft removes min, if approved, but reforms proposed only."
RZ1,co-housing,allowed_boolean,"True (limited, as MUH)",True (easier),n/a,Medium,planning.act.gov.au/missing-middle; lexology.com,Falls under MUH; requires community scheme. Overlays may override—not compliance.,"Co-housing is allowed in limited form (as multi-unit) on qualifying RZ1 blocks under current rules, but this is indicative—check overlays/design and consult ACT Planning. Draft eases for missing middle."
RZ2,second dwelling / granny flat,min_block_area_m2,>=500 (practical),Removed,m2,Medium,planning.act.gov.au/territory-plan; inferred from dual,More flexible than RZ1; frontage/overlays apply. Not DA substitute—seek certifier.,"Adding a granny flat/second dwelling is possible on your RZ2 block ≥500 m² under current rules, indicative only—subject to overlays, frontage, and design. Draft removes min, but proposed only."
RZ2,second dwelling / granny flat,max_gfa_m2,<=120 (excl. garage),No limit,m2,Medium,thepodcanberra.com.au; region.com.au,Aligns with dual; design rules (setbacks etc.) override. Not legal advice.,"Second dwelling/granny flat up to 120 m² (excl. garage) in RZ2 under current rules, but indicative—check overlays/design and consult ACT Planning. Draft removes limit."
RZ2,second dwelling / granny flat,allowed_boolean,TRUE,True (easier),n/a,High,ACT Planning zones; thepodcanberra.com.au,Flexible in RZ2; subject to assessment. Overlays may restrict—not compliance.,"Adding a granny flat/second dwelling is allowed in RZ2 under current rules, indicative only—overlays/frontage/design may apply; consult professional. Draft simplifies."
RZ2,unit-titling,min_block_area_m2,>=700 (practical for dual),>=600,m2,Medium,planning.act.gov.au/unit-titling; lexology.com,Easier in RZ2; build + COU required. Overlays override—not DA advice.,"Unit titling possible on larger RZ2 blocks under current rules, but indicative—subject to construction, overlays, and full DA. Draft lowers threshold."
RZ2,unit-titling,allowed_boolean,TRUE,TRUE,n/a,High,ACT unit title guide,More common in RZ2; design/frontage apply. Not guarantee—consult ACT Planning.,"Unit titling is allowed for second dwellings in RZ2 under current rules, indicative only—overlays may restrict; seek certifier. Draft maintains/eases."
RZ2,subdivision,allowed_boolean,True (more flexible),True (easier),n/a,Medium,planning.act.gov.au/subdivision-policy,Vacant lots possible; overlays restrict. Not compliance—full assessment needed.,"Subdivision is more likely in RZ2 (vacant lots possible) under current rules, but indicative—subject to policy/overlays/frontage. Draft eases further."
RZ2,townhouses / multi-unit,allowed_boolean,True (limited low-rise),True (expanded),n/a,High,planning.act.gov.au/residential-zones; canberratimes,Townhouses/MUH permitted; design/overlays override. Not DA advice—consult pro.,"Townhouses/multi-unit is allowed in RZ2 (low-rise) under current rules, indicative only—overlays/design may restrict. Draft expands options, if approved."
RZ2,co-housing,min_block_area_m2,None (flexible as MUH),Removed,m2,Medium,planning.act.gov.au/territory-plan (inferred from MUH); region.com.au (2025),Treated as MUH/community title; no strict min in RZ2. Overlays/frontage restrict—not DA advice.,"Co-housing (shared MUH) is possible without strict min block size in RZ2 under current rules, but indicative only—subject to overlays, frontage, and full assessment. Draft removes any barriers, if approved."
RZ2,co-housing,allowed_boolean,True (as MUH),True (expanded),n/a,Medium,planning.act.gov.au/missing-middle; lexology.com,Falls under MUH; community scheme possible. Overlays override—not compliance.,"Co-housing is allowed (as multi-unit) in RZ2 under current rules, but this is indicative—check overlays/design and consult ACT Planning. Draft expands for missing middle."
