"Zone","Pathway","Parameter","Current Value/Operator","Draft DPA-04 Value/Operator","Units","Confidence","Source Citation","Notes/Disclaimers","User-Facing Explanation (Plain English for Reports)"
"RZ1","second dwelling / granny flat","min_block_area_m2",">=0",">=0","m2","High","MPA-04 eff. 1 July 2026; F01 AR5","Minimum block size removed under MPA-04. Site constraints, trees, easements, setbacks and Crown lease conditions may still affect feasibility. Subdivision not permitted - secondary residence.",""
"RZ1","second dwelling / granny flat","max_gfa_m2","<=90 (excl. garage)","<=90 (excl. garage)","m2","High","E1 AR2 (MPA-04, eff. 1 July 2026); F01 AR5","Maximum dwelling size of a secondary residence is 90m2 excluding garage. Subdivision not permitted - secondary residence.",""
"RZ1","second dwelling / granny flat","allowed_boolean","TRUE","TRUE","n/a","High","E1 AR1, E1 AR2 and E1 AR3 (MPA-04, eff. 1 July 2026); F01 AR5","A secondary residence is developed only in association with single dwelling housing. Maximum one secondary residence per block. Subdivision not permitted - secondary residence.","Your block qualifies. From 1 July 2026, there is no minimum block size for a secondary residence."
"RZ1","unit-titling","min_block_area_m2",">=600",">=600","m2","High","MPA-04 eff. 1 July 2026; NI2023-540 F01 AR13; DI2025-179 Sch 1 and Sch 2; F01 AR12","RZ1 minimum block area for unit titling reduced to 600m2 under MPA-04 from 1 July 2026.",""
"RZ1","unit-titling","allowed_boolean","TRUE","TRUE","n/a","High","MPA-04 eff. 1 July 2026; NI2023-540 F01 AR13; DI2025-179 Sch 1 and Sch 2; F01 AR12","Both dwellings must be built and have a Certificate for Occupancy and Use before the unit title can be registered. DA and lease variation required.","Unit titling gives each dwelling on a dual occupancy its own separate title - the step that turns a construction project into two assets you can sell independently."
"RZ1","subdivision","allowed_boolean","TRUE","TRUE","n/a","Medium","MPA-04 eff. 1 July 2026; NI2023-540 F01 as amended; F01 AR11","A DA is required. New block must demonstrate it can accommodate a compliant dwelling. Access, frontage and site dimensions affect feasibility. F01 AR11 requires either dwellings to be constructed, or minimum block size of 350m2.","Block subdivision splits your block into two separate Crown leases under the Planning Act 2023. From 1 July 2026, block subdivision is permitted in RZ1 and RZ2."
"RZ1","townhouses / multi-unit","allowed_boolean","TRUE","TRUE","n/a","High","MPA-04 eff. 1 July 2026; E1 AR8; E1 AR6a; Missing Middle Housing Design Guide","RZ1 multi-unit housing is limited by design, 45% site coverage, 2 storeys plus attic, setbacks, trees and the Missing Middle Housing Design Guide.","Three or more dwellings are now permitted in RZ1 from 1 July 2026. There is no minimum block size and no fixed dwelling cap."
"RZ1","co-housing","min_block_area_m2",">=0",">=0","m2","Medium","MPA-04 eff. 1 July 2026; Missing Middle Housing Design Guide","Legacy analytics pathway only. Visible free report uses the multi-unit housing card.",""
"RZ1","co-housing","allowed_boolean","TRUE","TRUE","n/a","Medium","MPA-04 eff. 1 July 2026; Missing Middle Housing Design Guide","Legacy analytics pathway only. Visible free report uses the multi-unit housing card.","Shared-living or co-housing outcomes are treated as a more detailed design question under the broader multi-unit housing pathway."
"RZ2","second dwelling / granny flat","min_block_area_m2",">=0",">=0","m2","Medium","MPA-04 eff. 1 July 2026; F01 AR5","Minimum block size removed under MPA-04. Site constraints, trees, easements, setbacks and Crown lease conditions may still affect feasibility. Subdivision not permitted - secondary residence.",""
"RZ2","second dwelling / granny flat","max_gfa_m2","<=90 (excl. garage)","<=90 (excl. garage)","m2","Medium","E1 AR2 (MPA-04, eff. 1 July 2026); F01 AR5","Maximum dwelling size of a secondary residence is 90m2 excluding garage. Subdivision not permitted - secondary residence.",""
"RZ2","second dwelling / granny flat","allowed_boolean","TRUE","TRUE","n/a","High","E1 AR1, E1 AR2 and E1 AR3 (MPA-04, eff. 1 July 2026); F01 AR5","A secondary residence is developed only in association with single dwelling housing. Maximum one secondary residence per block. Subdivision not permitted - secondary residence.","Your block qualifies. From 1 July 2026, there is no minimum block size for a secondary residence."
"RZ2","unit-titling","min_block_area_m2",">=0",">=0","m2","Medium","MPA-04 eff. 1 July 2026; NI2023-540 F01 AR13; DI2025-179 Sch 1 and Sch 2; F01 AR12","RZ2 unit titling is possible under the supplied MPA-04 free report matrix, subject to construction, certification, DA and lease variation requirements.",""
"RZ2","unit-titling","allowed_boolean","TRUE","TRUE","n/a","High","MPA-04 eff. 1 July 2026; NI2023-540 F01 AR13; DI2025-179 Sch 1 and Sch 2; F01 AR12","Both dwellings must be built and have a Certificate for Occupancy and Use before the unit title can be registered. DA and lease variation required.","Unit titling gives each dwelling on a dual occupancy its own separate title - the step that turns a construction project into two assets you can sell independently."
"RZ2","subdivision","allowed_boolean","TRUE","TRUE","n/a","Medium","MPA-04 eff. 1 July 2026; NI2023-540 F01 as amended; F01 AR11","A DA is required. New block must demonstrate it can accommodate a compliant dwelling. Access, frontage and site dimensions affect feasibility. F01 AR11 requires either dwellings to be constructed, or minimum block size of 350m2.","Block subdivision splits your block into two separate Crown leases under the Planning Act 2023. From 1 July 2026, block subdivision is permitted in RZ1 and RZ2."
"RZ2","townhouses / multi-unit","allowed_boolean","TRUE","TRUE","n/a","High","E1 AR6b MPA-04 eff. 1 July 2026; E1 AR8; E1 AR6b(ii); Missing Middle Housing Design Guide","RZ2 multi-unit housing can be up to 3 storeys and is limited by design, 45% site coverage, setbacks and the Missing Middle Housing Design Guide.","Three or more dwellings are permitted in RZ2, with expanded opportunities from 1 July 2026. There is no minimum block size and no fixed dwelling cap."
"RZ2","co-housing","min_block_area_m2",">=0",">=0","m2","Medium","MPA-04 eff. 1 July 2026; Missing Middle Housing Design Guide","Legacy analytics pathway only. Visible free report uses the multi-unit housing card.",""
"RZ2","co-housing","allowed_boolean","TRUE","TRUE","n/a","Medium","MPA-04 eff. 1 July 2026; Missing Middle Housing Design Guide","Legacy analytics pathway only. Visible free report uses the multi-unit housing card.","Shared-living or co-housing outcomes are treated as a more detailed design question under the broader multi-unit housing pathway."
